facilityid,name,latitude,longitude,baseline_summer_avg_tmax_f,threshold_f,source,prism_scale_m,retrieved
10006510,Otay Mesa Detention Center,32.57596504758365,-116.91564013788977,78.4,88.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10001521,Del Norte County Jail,41.75310253863079,-124.20082671366757,62.6,72.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000914,Dorothy Kirby Center,34.011725929422504,-118.16917483066176,82.4,92.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006313,Baldwin Park Jail,34.08542320534737,-117.95972580356398,89.7,99.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006488,Claremont Jail,34.096233053161434,-117.72245587010627,88.9,98.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006489,Concord Jail,37.97087039089063,-122.031692397237,85.2,95.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006495,Monrovia Jail,34.14789596650148,-117.9992566100296,88.9,98.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006498,Signal Hill City Jail,33.80680219254155,-118.17245189767004,77.8,87.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006492,Culver City Jail,34.020764242179446,-118.39508559710085,75.3,85.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006179,Fci Mendota,36.73364122914027,-120.3924603239434,92.5,102.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000864,Usp Lompoc,34.679187474299496,-120.50548010652062,68.5,78.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002351,Bell City Jail,33.97910744065924,-118.18841160133736,81.1,91.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000771,Alder Conservation Camp #20,41.50102605418069,-124.0614026616772,68.4,78.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005258,Sugar Pine Conservation Camp #9,40.74594991511181,-122.0926140282548,92.6,102.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000871,Mcc San Diego,32.713963558611916,-117.1660704622264,73.7,83.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005267,Salt Creek Conservation Camp #7,39.81202088855824,-122.62925447861537,92.3,102.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005319,Owens Valley Conservation Camp #26,37.38924437916502,-118.55153489518936,90.7,100.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005362,Ventura Conservation Camp #46,34.246176183785806,-119.10677775352286,76.0,86.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000840,Prado Conservation Camp #28,33.99116711079797,-117.68683207528083,89.8,99.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005275,Valley View Conservation Camp #34,39.65246297492119,-122.72173226828056,80.6,90.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000874,Western Region Detention Facility,32.7173817496747,-117.16523774875972,74.1,84.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000849,Mesa Verde Ice Processing Center,35.37971816195629,-119.00641253053884,94.5,104.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000897,Glendale City Jail,34.14735399725111,-118.2493590354608,85.5,95.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000911,Torrance City Jail,33.83986898172371,-118.34228828447392,75.7,85.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000777,Sutter County Jail,39.14285926968739,-121.63782617479472,92.5,102.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000823,Tulare County Men'S Correctional Facility,36.44508173488965,-119.32043337950851,93.9,103.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005263,Antelope Conservation Camp #25,40.40164182151751,-120.51004710820791,86.1,96.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000772,Herlong Fci,40.151192472135286,-120.16619206516069,87.8,97.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000814,Ben Lomond Conservation Camp #45,37.130265033493735,-122.1690670677042,79.6,89.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002347,Calipatria State Prison (Cal),33.16569335411168,-115.4843440200192,104.1,114.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002348,Centinela State Prison (Cen),32.82339731050856,-115.7890554901459,104.7,114.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006310,Adelanto Ice Processing Center,34.55969543666143,-117.44071494857548,95.6,105.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005361,El Centro Service Processing Center,32.80301930673736,-115.56681652692428,104.9,114.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006491,Covina Jail,34.08995454335269,-117.8886708557222,88.8,98.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000781,Sacramento County Work Release,38.600280065057795,-121.49413045068547,90.8,100.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000859,Larry D Smith Correctional Facility,33.91003189843904,-116.87021077101804,94.2,104.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000835,Glen Helen Rehabilitation Center,34.17753047412101,-117.38931449983622,91.0,101.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10001539,Oxnard City Jail,34.200843775017155,-119.18149015571184,71.3,81.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000891,Pitchess Detention Center-South,34.46605502608862,-118.5996116034917,90.4,100.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002330,Fci Dublin Camp,37.717950171696266,-121.8948186675473,85.4,95.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000863,Fci Lompoc,34.676755382981256,-120.4994620676944,68.5,78.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000833,Fci Victorville Medium I Camp,34.56900668681523,-117.36974423441475,95.5,105.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000831,Fci Victorville Medium Ii,34.568484117135945,-117.35831452366868,95.6,105.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006487,Chula Vista Jail,32.63993272300781,-117.08303758871024,74.0,84.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006180,Fci Mendota Camp,36.728576475901214,-120.39236686830785,92.6,102.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000887,Fci Terminal Island,33.72649105995905,-118.26706314344848,76.7,86.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000867,Usp Lompoc Camp,34.67502678354751,-120.5042452703141,68.5,78.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000806,Usp Atwater,37.385902009533794,-120.55881096422864,92.5,102.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000892,Mdc Los Angeles,34.05365172738237,-118.23852864799257,82.2,92.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006299,Usp Lompoc North Camp,34.684348596310315,-120.50342145068144,68.5,78.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005303,Fci Dublin,37.7185793067588,-121.896970997066,85.4,95.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005261,Herlong Fci Camp,40.15300842320584,-120.153899940364,87.8,97.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006194,Usp Atwater Camp,37.38324683391697,-120.56351089902054,92.5,102.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000830,Usp Victorville,34.56511772035156,-117.3705686834497,95.3,105.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000832,Fci Victorville Medium I,34.565479182329916,-117.3645614551476,95.3,105.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002323,"California State Prison, Solano (Sol)",38.320776607604,-121.97523692020748,88.5,98.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002316,Yolo County Juvenile Detention Facility,38.66101321635629,-121.73033404289303,91.3,101.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002350,North County Correctional Facility,34.46449801148207,-118.58669462597126,90.2,100.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002355,Central Juvenile Hall,34.062845125055134,-118.2075310308609,84.4,94.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002354,Mira Loma Detention Center,34.701951456144066,-118.23257916788252,95.4,105.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006242,James G Bowles Juvenile Hall,35.38551690633812,-118.97007208464194,94.8,104.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000893,Long Beach City Jail,33.76887574058282,-118.19740279229644,78.0,88.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006509,Imperial Regional Detention Facility,32.69157796738742,-115.39785934490034,104.9,114.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006224,Camp Mendenhall,34.65294490631566,-118.47692576783348,88.9,98.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006223,Camp Munz,34.65269994694997,-118.4790990449336,88.9,98.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005249,Del Norte Juvenile Hall,41.76415323607952,-124.19060254740864,63.0,73.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005329,Central Valley Juvenile Detention And Assessment Center,34.13232970328932,-117.26894018143396,92.8,102.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000907,Monterey Park City Jail,34.059105896911724,-118.1260141111758,86.3,96.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005366,Pacific Area Community Jail,33.99163063383789,-118.41985259215922,74.9,84.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005364,77Th Street Regional Jail,33.970346036657936,-118.27739864086942,80.1,90.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006325,Santa Ana City Jail,33.75017454253526,-117.88059472025569,81.5,91.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006307,Cai - Ocean View,32.70025287997728,-117.11802856467416,74.2,84.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000898,Glendora City Jail,34.134683472370746,-117.86472195529764,88.2,98.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005322,San Benito County Jail,36.88402085050856,-121.41134831394592,80.7,90.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005309,Maguire Correctional Facility,37.48776481473485,-122.23165188434776,76.8,86.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000909,Pomona City Jail,34.054407799325865,-117.7537923831384,88.1,98.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006306,Cai - Boston Avenue,32.69354083598739,-117.13502194396476,73.5,83.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006221,Camp Kilpatrick,34.09201895807897,-118.837876371687,80.8,90.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005266,Tehama County Jail,40.175627755533974,-122.23695248454342,92.7,102.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005316,Sunnyvale Department Of Public Safety,37.37040656709717,-122.04014117760228,79.8,89.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000804,Madera County Juvenile Hall,36.95303527822695,-120.0337697819451,93.5,103.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10007007,Kern County - Lerdo Justice Facility,35.50642904042633,-119.1109999113409,94.7,104.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10007001,Northern Branch Jail,34.91837859256055,-120.49241570493896,70.4,80.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000826,Avenal State Prison,35.97394943680589,-120.123101823151,94.3,104.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002345,California Men'S Colony (Cmc),35.324574100099134,-120.69890041992886,76.3,86.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000852,California City Correctional Center (Cac),35.15325120165892,-117.85888005110138,97.4,107.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000824,"California State Prison, Corcoran (Cor)",36.060818292814254,-119.54912102574772,95.3,105.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000825,Ca Substance Abuse Treatment Facility (Satf),36.05395908338128,-119.54782062864966,95.3,105.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000801,Central California Women'S Facility (Ccfw),37.0936807963828,-120.15270979438849,92.5,102.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002346,Chuckawalla Valley State Prison (Cvsp),33.562579498036335,-114.90950576295587,105.2,115.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000869,R J Donovan Correctional Facility (Rjd),32.58456492210108,-116.9335763874008,78.3,88.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002309,Pelican Bay State Prison (Pbsp),41.85480855418667,-124.1490751163596,65.4,75.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000822,Gabilan Conservation Camp #38,36.46407283647074,-121.38305815511475,76.6,86.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000810,Pleasant Valley State Prison(Pvsp),36.131473239777144,-120.24889960644474,96.0,106.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000802,Valley State Prison (Vsp),37.105477428630245,-120.15547185750694,92.5,102.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005251,Devils Garden Conservation Camp #40,41.52359923931703,-120.67020461410344,81.5,91.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000858,Bautista Conservation Camp #36,33.64204515942113,-116.80923524430564,92.8,102.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006530,Folsom Women'S Facility (Fwf),38.69320816978507,-121.14879148409725,91.5,101.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005248,Deadwood Conservation Camp #23,41.67774197144028,-122.82407824218762,86.4,96.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000904,Julius Klein Conservation Camp #19,34.2378303823899,-117.82290059711198,87.5,97.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005252,Eel River Conservation Camp #31,40.13825346356871,-123.8224067420024,85.0,95.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005290,Growlersburg Conservation Camp #33,38.90313303813308,-120.87004293218703,88.8,98.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000905,Malibu Conservation Camp #13,34.08392941062969,-118.86552872385522,80.3,90.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005305,Mount Bullion Conservation Camp #39,37.5359784933773,-120.048738197483,87.8,97.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002310,High Desert State Prison (Hdsp),40.40786908373915,-120.51339082085426,86.1,96.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000878,Mccain Valley Conservation Camp #21,32.68422671566009,-116.2667738482972,88.2,98.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000855,Cuesta Conservation Camp #24,35.329429003849334,-120.73344205123828,72.8,82.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006204,Holton Conservation Camp #16,34.300036648410114,-118.36033132151492,88.9,98.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000789,Baseline Conservation Camp #30,37.92402926410429,-120.52961603771271,94.2,104.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000774,Intermountain Conservation Camp #22,41.1231067161181,-121.22419725359636,82.3,92.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005328,Pilot Rock Conservation Fire Camp #15,34.271656892428354,-117.2814657468556,87.1,97.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000901,Fenner Canyon Conservation Camp #41,34.39010316279468,-117.77262913360008,85.5,95.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005264,Ishi Conservation Camp #18,40.31308214420257,-121.89495892375476,92.3,102.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000793,O.H.Close Youth Correctional Facility,37.89852127379901,-121.19769467027837,89.5,99.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005324,Mountain Home Conservation Camp #10,36.20791412059433,-118.71392800271092,84.5,94.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005256,Trinity River Conservation Camp #3,40.78981381613563,-122.80394970874065,85.2,95.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000877,Rainbow Conservation Camp #2,33.427961075610796,-117.11832774136676,86.8,96.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006497,Seal Beach Detention Center,33.75270984107934,-118.08776063978296,77.3,87.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006316,Fontana City Jail,34.10164898633541,-117.43379001368056,91.4,101.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006317,Garden Grove City Jail,33.77637797128475,-117.93573132365108,81.2,91.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
